Date,AMZN,BTC,NFLX
2014-03-13,371.51001,625.039978,61.437141
2014-03-14,373.73999,614.030029,60.64143
2014-03-17,375.040009,606.380005,60.388573
2014-03-18,378.769989,598.929993,60.035713
2014-03-19,373.230011,594.960022,60.012856
2014-03-20,368.970001,565.98999,60.610001
2014-03-21,360.619995,549.599976,57.998573
2014-03-24,351.850006,567.559998,54.128571
2014-03-25,354.709991,562.890015,52.977142
2014-03-26,343.410004,562.450012,53.182858
2014-03-27,338.470001,460.450012,52.025715
2014-03-28,338.290009,482.609985,51.267143
2014-03-31,336.369995,463.450012,50.290001
2014-04-01,342.98999,424.369995,52.098572
2014-04-02,341.959991,436.309998,51.84
2014-04-03,333.619995,444.359985,50.669998
2014-04-04,323,456.630005,48.187141
2014-04-07,317.76001,466.559998,48.285713
2014-04-08,327.070007,457.339996,49.841427
2014-04-09,331.809998,384.630005,50.432858
2014-04-10,317.109985,435.140015,47.818573
2014-04-11,311.730011,437.649994,46.672855
2014-04-14,315.910004,526.429993,47.368572
2014-04-15,316.079987,536.950012,46.610001
2014-04-16,323.679993,502,47.344284
2014-04-17,324.910004,485.519989,49.39143
2014-04-21,330.869995,487.910004,49.784286
2014-04-22,329.320007,487.299988,53.271427
2014-04-23,324.579987,500.290009,50.5
2014-04-24,337.149994,464.48999,49.152859
2014-04-25,303.829987,457.869995,46.011429
2014-04-28,296.579987,446.119995,44.887142
2014-04-29,300.380005,445.630005,45.695713
2014-04-30,304.130005,460.130005,46.005714
2014-05-01,307.890015,453.670013,48.074287
2014-05-02,308.01001,438.649994,48.664288
2014-05-05,310.049988,432.190002,49.197144
2014-05-06,297.380005,446.549988,46.598572
2014-05-07,292.709991,441.109985,45.791428
2014-05-08,288.320007,445.450012,45.951427
2014-05-09,292.23999,451.899994,46.935715
2014-05-12,302.859985,433.920013,49.349998
2014-05-13,304.640015,442.630005,49.591427
2014-05-14,297.619995,448.100006,50.26857
2014-05-15,295.190002,453.630005,49.169998
2014-05-16,297.700012,452.790009,49.982857
2014-05-19,296.76001,484.570007,52.07143
2014-05-20,301.190002,488.839996,53.095715
2014-05-21,305.01001,515.359985,55.799999
2014-05-22,304.910004,518.090027,55.971428
2014-05-23,312.23999,520.460022,57.478573
2014-05-27,310.820007,570.840027,56.972858
2014-05-28,310.160004,564.419983,57.32
2014-05-29,313.779999,612.349976,59.314285
2014-05-30,312.549988,627.909973,59.689999
2014-06-02,308.839996,669.429993,60.294285
2014-06-03,307.190002,638.929993,59.652859
2014-06-04,306.779999,660.179993,60.458572
2014-06-05,323.570007,650.409973,61.192856
2014-06-06,329.670013,651.669983,61.447144
2014-06-09,327.5,655.619995,60.441429
2014-06-10,332.410004,642.950012,61.184284
2014-06-11,335.200012,597.130005,61.42857
2014-06-12,325.910004,610.349976,60.349998
2014-06-13,326.269989,583.419983,61.101429
